0,第一次加载网页的速度非常慢，chrome一两秒就完全加载，DDG要10秒
1,刚刚安装只进行了简单的测试，整体上说体验很棒。发现一个问题，如果在切换至后台时输入法处于激活状态，比如输入网址途中，则会在退至主屏后弹出一次输入法键盘。我的手机是Xperia 10 ii Docomo合约机，希望这个问题能够修正。感谢！
2,so good 希望以后有鸭鸭云 鸭鸭邮 鸭鸭。。。
3,不错 但想要中文翻译
4,使用挺好，就是弹窗有点多
5,很不错，谨慎有度。
6,反应速度很快
7,66666666666666太给力了
8,无话可说非常好的软件，值得信赖。话说以前清理时有🔥苗一样，从上到下非常酷。现在没有这样的酷炫火苗，不知道怎么调试出来？
9,鸭鸭走浏览器，安全评级和一键清除痕迹是亮点，安全等级充当了一部分卫士的功能，这个部分比某些安全软件还要好。
10,很好用，隐私保护的好，不过很多网站每次都要输用户名和密码，没办法，保护隐私就要牺牲便利性
11,刚了解到这个搜索引擎，还不知道怎么样，但这个浏览器是真的好用，用过最流畅的一个
12,很棒的搜索能力，能像谷歌一样俱有全面的功能就更好了
13,非常感謝，很好用。好極了！
14,相比其他小巧，隐私，功能实用
15,书签怎么同步到不同的设备上呢
16,简洁好用，注重隐私不记录cookie！
17,很好用，希望后面能加上中文界面
18,不知道能不能加入插件 扩展
19,看到有人说这个搜索引擎会过滤，大致试了下（食品安全和毒疫苗（这个词好荒谬））。 结果：两者搜出的内容确实不太一样，谷歌更能抓住问题“核心”而鸭子上一堆乱七八糟。 然后我试着拿谷歌搜出来的内容当关键词放鸭子上搜，是能搜出那个网页的。 这有两个悲伤的事实：1，如果不记录你的隐私，那么就没法自动给你想要的结果，也难以优化引擎。2，谷歌的技术储备更强。
20,喵的 没有中文还要给五星 什么世道... ...
21,让我很有安全感
22,還不錯 繼續用用看
23,好用请开发者添加中文
24,搜索栏搜索没结果
25,DuckDuckGo打着"保护用户隐私"的旗号，实际上在搞搜索过滤和审查，不信大家可以和谷歌对此一下，不用太敏感的词，用"食品安全”，“毒疫苗”等关键词搜索一下，对此一下结果，你自己就会有判断，为了利益配合审查，却宣传自己会保护用户隐私，可信么？
26,为了利益出卖了灵魂。这就是不折不扣的第二个百度。各种审查，有用的东西全没有。 随便一搜，全都是中共的假新闻 大外宣。
27,不必如临深渊如履薄冰:)
28,无翻译功能
29,用不明白
30,喜欢那个过滤功能，总能发现一些有趣的东西。 不过书签导入导出没有，主页没有，翻译没有，希望美化一下，不然只能通过其他浏览器用你的搜索引擎了。 我是颜值控。
31,还可以。但是只有防追踪，没有防广告。没有历史记录和隐私浏览模式。
32,我非得说一下打一星的智障！搜索的结果和谐是因为引擎的技术水平不如谷歌！duck是个值得相信的好搜索引擎，奈何中文搜索技术肯定比不上百度，bing，谷歌之类的。
33,无法从hotmail下载附件。很多网页不能正常显示，比如sprint登陆页面。书签缺乏管理功能。只能说是个半成品，很多时候还是不得不切换回Chrome。
34,1.希望提供语言切换选项（非必要） 2.不使用VPN是没法搜索的？ 总体来说非常好，不管是界面还是搜索结果显示，都十分贴合手机端。
35,浏览器内核不行，速度有点慢。
36,希望可以有中文界面，谢谢。
37,简介，安全。要是有中文版就好了。
38,用不了，加载到一半就没了，怎么说网站是好的，3星吧
39,功能不够多，不能去广告，不能调用插件。但是基础功能都有，目前没发现什么问题。
40,技术人员很棒！提出了问题没两天就更新解决了。
41,页面不错，如果真的可以保护隐私的话就更好了
