79,您不再拥有此服务的访问权限。如果您认为有误，请联系 Adobe 客户支持。
80,在手机上使用起来很方便，如果能支持更多的网盘就更好了
81,真的垃圾，adobe能不能在移动端下点功夫，google账号和Facebook还有adobe账号都不能登陆，我不管是不是设备问题，其他软件都好好的为什么你就不行？
82,网页上用账号能进入，app用账号总是访问被拒绝。不能登陆，就用不成。只好删除该软件 浪费了我好长时间。
83,开启速度快，方便，如果增加一个打开文件所在位置的功能就更好了。
84,之前用的好好的，一更新就没有访问权限了，这是要闹哪样？
85,请问是否可以查看3D内容。像Windows版本一样。
86,必须登录才能使用，我就偶尔看一下文档，不想登录啊。
87,但是编辑还得花钱……一个月将近10美刀，我也用不了十次，五年前的账号依然可用，还是用我的pc端吧！拜拜
88,我无法登录Adobe账号，显示访问被拒绝，您不在拥有此访问权限，这个怎么解决？
89,我只想说这个软件真的很棒，解决我我在手机看PDF的困难，就是有些高级的功能需要会员才能用到，并且贵到离谱
90,为啥搜索没有全部列出了！！！！！！！！！！！
91,免费的pdf阅读器 页面简洁，注释标记很方便 免费云端存储，电脑手机平板随时同步
92,不能登录什么情况？
93,为什么在中国大陸如不使用VPN连接就打不开APP了，作为一款办公软件难道也被封杀了吗？
94,无法登陆： 不再拥有此服务的访问权限. 不知道怎么回事.
95,很好的阅读工具，再免费一些功能就完美了。
96,登录的时候一直提示"您不再拥有此服务的访问权限"
97,白嫖了这么久总该给个五星吧
98,正在试用，看来不错。（先给不确定星）
99,很不错，不过，对安卓平板的优化不够，横屏阅读时，安卓导航栏不能自动隐藏
100,比其他pdf 阅读器好多了，简单，没有广告
101,登录了，反而没权限，阅读器需要那么多花里胡哨的？又不是订阅高级功能
102,不登录不能用，客服说右上角能关闭，右上角有关闭按钮？
103,登陆无法绕开且登陆后说没有此服务权限的，可以把 app 卸载了重新安装即可。
104,Google账户登陆了之后也没有权限使用？还以为这个app收费了
105,可以电子签名在文件上，而且是黑颜色的签名，很好！
106,还是土坯的风格，功能管用，但不多，偏偏程序体积很大。
107,用这个在手机上看Datasheet非常方便
108,不登陆就不能使用么？而且登录账户也提示无法连接到服务。
109,不登陆就用不了，又登录不了，删除重新安装，可以不登陆使用
110,什么时候能解决不能保持登录的问题？
111,为什么打开大文件需要很久才能加载出来而且容易卡住无响应，我荣耀10手机
112,读取很快，就是不能登录，其余的Adobe都可以登上去，搞得不能修改内容
113,部分文档中的中文字体无法显示 而且几个版本以来都没有修复
114,强大的功能。照顾一切需求。
115,很不错，但如果可以不要付费的话更加好！
116,要是能给Android 7.0的内存卡权限再完善一下就perfect了，7.0无法写入内存卡
117,啊呆逼，真呆，（应该是中国区）账号不给登，删除账号还没法重新注册？恶心至极
118,用得好好的，怎么突然任何PDF都打不开了，一打开就崩溃
119,这个用不上软件，不好使用使用，非常的不好用，浪费了我流量，登录不了，注册不了，陪我流量。
120,好用,也许是新手机功能打開文件超快。
121,优秀的PDF查看和编辑器！
122,功能强大，感谢开发者!
123,希望能像电脑端那样针对非文本类型的PDF文档进行高亮文本并添加注释
124,希望增加同时打开多个PDF文档功能支持。
125,下载卡着不动啊，为什么装不了
126,主页>最近。怎么查看文件在哪个路径？
127,什么垃圾逻辑，最新版必须登录才能用，但是登录又被拒绝！
128,中国区无法登陆，注册关联账号直接被封。
129,用一段时间就要卸载从新装。要不打不开PDF的文件
130,垄断软件，连提取页面都要付费，可以的话希望打0分
131,軟件給了一道墻，衹要是中國用戶不給用。
132,登录账户总是拒绝访问，同样的Adobe Photoshop却能登录
133,我觉得不错很好用
134,很好我喜欢.谢谢.
135,真的需要我一直登录账户吗 登录账户一直是access denied, 不如更新前
